id,season,episode,scene,line_text,speaker,deleted
85,1,1,19,"Sure. Mr. Davis, let me call you right back. Yeah, something just came up. Two minutes. Thank you very much. Dwight, what are you doing?",Jim,False
86,1,1,19,What?,Dwight,False
87,1,1,19,What are you doing?,Jim,False
88,1,1,19,Just clearing my desk. I can't concentrate.,Dwight,False
92,1,1,19,Why not?,Jim,False
93,1,1,19,Safety violation. I could fall and pierce an organ.,Dwight,False
124,1,1,26,Can you promise that?,Stanley,False
125,1,1,26,On his mother's grave.,Dwight,False
148,1,1,30,"OK. Hold on, hold on. The judge is in session. What is the problem here?",Michael,False
149,1,1,30,He put my stuff in Jell-O again.,Dwight,False
153,1,1,32,What is that?,Michael,False
154,1,1,32,That is my stapler.,Dwight,False
157,1,1,32,How do you know it was me?,Jim,False
158,1,1,32,It's always you. Are you going to discipline him or not?,Dwight,False
237,1,1,41,Messages?,Michael,True
238,1,1,42,"People respond to the human touch and that's what I give them. I can look at a client and I can say, 'Hello, how are you? How's business been going?' And we can go back and forth for sometime and uh, then I'll say, How much, how many reams do you want?' And they'll order it and then I'll take care of all the sales. I'll make sure that they get that paper. And they appreciate that.",Dwight,True
263,1,1,50,[boom microphone drops into the camera shoot] Can you move it out? Can you move it? Is that all right? Can you make that work?,Documentary Crew Member,True
264,1,1,50,That's fine.,Dwight,True
276,1,2,3,Do you really have to do that right now?,Jim,False
277,1,2,3,Yes I do. I should have done it weeks ago actually.,Dwight,False
353,1,2,12,"Oh, great. Well, what is a hero to you?",Mr. Brown,False
354,1,2,12,"A hero kills people, people that wish him harm.",Dwight,False
516,1,2,37,Seventy-six percent. What's yours?,Pam,True
517,1,2,37,You're not allowed to play two-player. You need to start over.,Dwight,True
638,1,3,14,"If it's the same thing, then why did you write 'workspace'?",Jim,False
639,1,3,14,"Just knock, Please? As a sign of respect for your superior.",Dwight,False
643,1,3,14,OK. Dwight. Are you really in charge of picking the health care plan?,Pam,False
644,1,3,14,Yes. And my decision in final.,Dwight,False
647,1,3,14,"You cut more than you had to, didn't you?",Jim,False
648,1,3,14,Sure.,Dwight,False
649,1,3,14,"Well, why did you do that? You work here, don't you want good insurance?",Jim,False
650,1,3,14,Don't need it. Never been sick. Perfect immune system.,Dwight,False
653,1,3,14,Why would you want to raise your cholesterol?,Pam,False
654,1,3,14,So I can lower it.,Dwight,False
663,1,3,16,Is it a good plan?,Michael,False
664,1,3,16,It's a great plan. It saves the company a fortune.,Dwight,False
667,1,3,16,"Cuts? What? Wow, Dwight, did you make cuts?",Michael,False
668,1,3,16,"Yeah, you said...",Dwight,False
669,1,3,16,"No, no , no, you know what? I said nothing specific because I was so busy. Why don't you go in there and find these people a plan that will work for them? OK?",Michael,False
670,1,3,16,I can handle that.,Dwight,False
703,1,3,24,"OK, so I don't know what the surprise is. Am I worried? No. No way. See, I thrive on this. This is my world. This is improv. This is Whose Line is it Anyway?",Michael,False
704,1,3,25,Damnit! Damnit Jim!,Dwight,False
706,1,3,25,What are you talking about?,Jim,False
707,1,3,25,"Uh, someone forged, uh, medical information and that is a felony.",Dwight,False
708,1,3,25,"OK, whoa. 'Cause that is a pretty intense accusation. How do you know that they're fake?",Jim,False
709,1,3,25,"Uh, leprosy? Flesh eating bacteria. Hot-dog fingers. Government-created killer nanorobot infection.",Dwight,False
720,1,3,27,Do you?,Jim,False
721,1,3,27,I think you need to confess...,Dwight,False
731,1,3,28,Who is this?,Jim,False
732,1,3,28,Let me out or you're fired.,Dwight,False
737,1,3,28,Hey Pam! How are you?,Jim,False
738,1,3,28,Jim! Open the door!,Dwight,False
740,1,3,28,I'm doing OK. Getting excited for the weekend though. What are you up to?,Jim,False
741,1,3,28,Jim!,Dwight,False
751,1,3,28,The mall?,Jim,False
752,1,3,28,Jim!,Dwight,False
755,1,3,29,Hello?,Jan,False
756,1,3,29,"Uh, hello. Uh, this is Dwight Schrute calling for Jan Levenson-Gould.",Dwight,False
759,1,3,29,Who is this?,Jan,False
760,1,3,29,Dwight Schrute.,Dwight,False
761,1,3,29,From sales?,Jan,False
762,1,3,29,Well...,Dwight,False
763,1,3,29,Where's Michael Scott?,Jan,False
764,1,3,29,He is not here right now. He put me in charge of the office.,Dwight,False
765,1,3,29,"Dwight, listen to me very carefully. You are not a manager of anything. Understand?",Jan,False
766,1,3,29,"That's not entirely true, because he put me in charge of picking the health care plan.",Dwight,False
767,1,3,29,Really?,Jan,False
768,1,3,29,Yeah.,Dwight,False
784,1,3,32,What about confidentiality?,Stanley,False
785,1,3,32,"You know what? You have forfeited that privilege. I have tried to treat you all as adults, but obviously I am the only adult here. Number one, inverted penis.",Dwight,False
